iter	Logloss
0	0.6820453247
1	0.6713162981
2	0.6618514061
3	0.6530149501
4	0.6450564514
5	0.6378908252
6	0.6312311741
7	0.625851373
8	0.6210988243
9	0.616587193
10	0.6123966016
11	0.6085132325
12	0.605150462
13	0.6035215106
14	0.6005805609
15	0.5979719113
16	0.5955986962
17	0.5935581559
18	0.5914578911
19	0.5905851535
20	0.5890220995
21	0.5885880012
22	0.5871994949
23	0.5859769481
24	0.5846134433
25	0.5833350091
26	0.5823817992
27	0.5813529626
28	0.5806887393
29	0.5796158941
30	0.5788954893
31	0.5783616972
32	0.5777991824
33	0.5773963705
34	0.5770964248
35	0.5769294009
36	0.5764542585
37	0.5761753831
38	0.5754396184
39	0.5746111534
40	0.5740116844
41	0.5738708457
42	0.5735120691
43	0.573174969
44	0.5729555226
45	0.5728896298
46	0.5726155969
47	0.5723789777
48	0.5721084061
49	0.5716044749
50	0.5714918981
51	0.5714044455
52	0.571404376
53	0.5711265259
54	0.5710358589
55	0.5708568077
56	0.5702465986
57	0.5696702041
58	0.5696701749
59	0.5696653242
60	0.5694658123
61	0.5692433149
62	0.5692433136
63	0.5692429279
64	0.5690262382
65	0.5688524857
66	0.568570538
67	0.5685322414
68	0.5683868962
