iter	Passed	Remaining
0	84	84116
1	148	74235
2	201	67079
3	240	59771
4	277	55257
5	335	55634
6	388	55053
7	414	51416
8	442	48673
9	464	46034
10	499	44940
11	529	43598
12	580	44065
13	599	42243
14	642	42207
15	677	41663
16	730	42229
17	754	41177
18	811	41893
19	842	41293
20	900	41996
21	918	40833
22	969	41163
23	999	40652
24	1063	41483
25	1120	41966
26	1173	42303
27	1229	42681
28	1253	41978
29	1313	42467
30	1369	42812
31	1398	42297
32	1443	42293
33	1495	42483
34	1535	42326
35	1558	41724
36	1611	41954
37	1644	41643
38	1695	41773
39	1753	42081
40	1806	42255
41	1833	41830
42	1887	42009
43	1936	42069
44	1978	41991
45	1997	41424
46	2050	41574
47	2103	41721
48	2149	41713
49	2204	41878
50	2247	41826
51	2280	41576
52	2290	40933
53	2338	40971
54	2384	40970
55	2437	41093
56	2487	41156
57	2550	41418
58	2565	40915
59	2596	40672
60	2646	40745
61	2712	41029
62	2730	40606
63	2751	40240
64	2800	40287
65	2850	40340
66	2911	40546
67	2964	40624
68	3018	40725
